,offer_id,source_count,sessions_count,sessions_orders_count,sessions_typ_count,cr
0,3,0,3,0,0,0.0
1,8,0,16676,273,273,0.01637083233389302
2,8,1,23041,315,315,0.013671281628401543
3,8,2,908,96,96,0.10572687224669604
4,8,3,65,15,15,0.2307692307692308
5,8,4,6,1,1,0.16666666666666666
6,8,5,1,1,1,1.0
7,8,7,1,1,1,1.0
8,17,0,6817,48,48,0.0070412204782162235
9,17,1,8548,127,127,0.014857276555919513
10,17,2,290,41,41,0.1413793103448276
11,17,3,16,6,6,0.375
12,17,4,1,0,0,0.0
13,17,6,1,0,0,0.0
14,17,8,1,0,0,0.0
15,17,9,3,0,0,0.0
16,17,23,1,0,0,0.0
17,18,0,3056,60,60,0.01963350785340314
18,18,1,4797,84,84,0.017510944340212633
19,18,2,159,25,25,0.15723270440251572
20,18,3,8,5,5,0.625
21,18,4,1,0,0,0.0
22,30,0,217565,708,708,0.0032541998942844665
23,30,1,125956,562,562,0.004461875575597828
24,30,2,5320,155,155,0.029135338345864664
25,30,3,314,23,23,0.0732484076433121
26,30,4,17,3,3,0.17647058823529413
27,31,0,218115,0,107,0.0004905669027806432
28,31,1,25198,0,61,0.0024208270497658546
29,31,2,1258,0,12,0.009538950715421305
30,31,3,96,0,1,0.010416666666666666
31,31,4,8,0,0,0.0
32,31,6,1,0,0,0.0
33,32,0,781416,0,4284,0.0054823551091864
34,32,1,400510,0,3570,0.008913635115228084
35,32,2,37373,0,1167,0.031225751210767125
36,32,3,5818,0,397,0.06823650739085596
37,32,4,1117,0,130,0.11638316920322292
38,32,5,281,0,46,0.16370106761565836
39,32,6,74,0,10,0.13513513513513514
40,32,7,25,0,4,0.16
41,32,8,4,0,2,0.5
42,41,0,72570,573,573,0.007895824720959075
43,41,1,24496,278,278,0.011348791639451341
44,41,2,323,13,13,0.04024767801857585
45,41,3,8,2,2,0.25
46,41,6,1,0,0,0.0
47,41,11,1,0,0,0.0
48,42,0,126500,791,791,0.0062529644268774715
49,42,1,38733,337,337,0.008700591227118994
50,42,2,778,39,39,0.05012853470437018
51,42,3,7,1,1,0.14285714285714285
52,42,4,1,0,0,0.0
53,43,0,320710,1143,1143,0.0035639674472264663
54,43,1,150100,362,362,0.002411725516322452
55,43,2,1811,30,30,0.016565433462175594
56,43,3,52,2,2,0.038461538461538464
57,43,4,5,0,0,0.0
