,offer_id,last_source,sessions_count,sessions_orders_count,sessions_typ_count,cr
0,3,,3,0,0,0.0
1,8,,13686,242,242,0.01768230308344293
2,8,advcake,2113,105,105,0.04969238050165641
3,8,mnogo.ru,7068,57,57,0.008064516129032258
4,8,Рассылка интернет-магазина,1422,46,46,0.03234880450070324
5,8,yandex,4941,34,34,0.006881198138028739
6,8,retailrocket,239,21,21,0.08786610878661087
7,8,eksmo.ru,652,19,19,0.029141104294478526
8,8,flocktory,447,13,13,0.029082774049217
9,8,FbTargetKarusel,311,7,7,0.022508038585209004
10,8,yandex_market,321,7,7,0.02180685358255452
11,8,Corpus,44,6,6,0.13636363636363635
12,8,rtbhouse,377,5,5,0.013262599469496022
13,8,ast.ru,116,4,4,0.03448275862068965
14,8,INSTA,273,4,4,0.014652014652014654
15,8,Affiliate.Publishers,83,3,3,0.03614457831325301
16,8,youtube,72,3,3,0.04166666666666666
17,8,mindbox,82,3,3,0.03658536585365853
18,8,Рассылка интернет-магазина АСТ,38,2,2,0.05263157894736842
19,8,biglion,6,2,2,0.3333333333333333
20,8,smntc,115,2,2,0.017391304347826087
21,8,drofa-ventana,173,2,2,0.011560693641618495
22,8,livelib,135,2,2,0.014814814814814815
23,8,topadvert,204,1,1,0.004901960784313725
24,8,affiliate_partners,39,1,1,0.02564102564102564
25,8,1190,1,1,1,1.0
26,8,2241,1,1,1,1.0
27,8,tinkoff,34,1,1,0.029411764705882356
28,8,VK,15,1,1,0.06666666666666668
29,8,instagram_com_ast,14,1,1,0.07142857142857142
30,8,FB,2,0,0,0.0
31,8,1402,1,0,0,0.0
32,8,social,215,0,0,0.0
33,8,1710,3,0,0,0.0
34,8,1798,1,0,0,0.0
35,8,1592,2,0,0,0.0
36,8,1159,2,0,0,0.0
37,8,elite-skill.ru_ast,1,0,0,0.0
38,8,direct,4,0,0,0.0
39,8,2239,1,0,0,0.0
40,8,1179,1,0,0,0.0
41,8,2242,1,0,0,0.0
42,8,OkTarget,1,0,0,0.0
43,8,yandex_banneri_nuri,1,0,0,0.0
44,8,prirodnoezemledelie.com_ast,2,0,0,0.0
45,8,sendpulse,1,0,0,0.0
46,8,1664,1,0,0,0.0
47,8,2249,1,0,0,0.0
48,8,1916,1,0,0,0.0
49,8,1441,1,0,0,0.0
50,8,1416,3,0,0,0.0
51,8,1868,1,0,0,0.0
52,8,adme.ru,2,0,0,0.0
53,8,2023,1,0,0,0.0
54,8,ok.ru_ast,2,0,0,0.0
55,8,1706,1,0,0,0.0
56,8,1437,1,0,0,0.0
57,8,lonelyplanet,3,0,0,0.0
58,8,readru,3,0,0,0.0
59,8,VKposev,45,0,0,0.0
60,8,lonely_planet,1,0,0,0.0
61,8,VKpost,18,0,0,0.0
62,8,VKavtor,1,0,0,0.0
63,8,Price.ru,12,0,0,0.0
64,8,1908,1,0,0,0.0
65,8,digest,3,0,0,0.0
66,8,1426,1,0,0,0.0
67,8,1354,1,0,0,0.0
68,8,2045,1,0,0,0.0
69,8,qrcode,38,0,0,0.0
70,8,FbTargetLenta,4,0,0,0.0
71,8,Sendsay,111,0,0,0.0
72,8,kizima.ru_ast,3,0,0,0.0
73,8,7dach,3,0,0,0.0
74,8,facebook.com_ast,4,0,0,0.0
75,8,TEST,1,0,0,0.0
76,8,fb.com_ast,2,0,0,0.0
77,8,2049,1,0,0,0.0
78,8,1711,5,0,0,0.0
79,8,1393,1,0,0,0.0
80,8,1434,1,0,0,0.0
81,8,instagram.com_ast,18,0,0,0.0
82,8,eksmolive,80,0,0,0.0
83,8,admitad,1,0,0,0.0
84,8,1808,1,0,0,0.0
85,8,1247,2,0,0,0.0
86,8,2053,1,0,0,0.0
87,8,1194,1,0,0,0.0
88,8,psychologies,3,0,0,0.0
89,8,MT,1,0,0,0.0
90,8,Avito.ru,1,0,0,0.0
91,8,vk_nyusha,13,0,0,0.0
92,8,2198,1,0,0,0.0
93,8,Torg.Mail.ru,73,0,0,0.0
94,8,youtube.com_afinka,9,0,0,0.0
95,8,criteo,1,0,0,0.0
96,8,koolinar,1,0,0,0.0
97,8,Fbpost,1,0,0,0.0
98,8,ast.mail,1,0,0,0.0
99,8,alterprice,10,0,0,0.0
100,8,mytarget_ast,1,0,0,0.0
101,8,VKTargetKnopka,2,0,0,0.0
102,8,wcbook,2,0,0,0.0
103,8,YouTube,8,0,0,0.0
104,8,1407,1,0,0,0.0
105,8,vk.com,1,0,0,0.0
106,8,Рассылка интернет-магазина book24.ru,1,0,0,0.0
107,8,vkontakte,3,0,0,0.0
108,8,Рассылка интернет-магазина Эксмо,1,0,0,0.0
109,8,readrate,1,0,0,0.0
110,8,instagram,4,0,0,0.0
111,8,landing_ast,1,0,0,0.0
112,8,Vk,8,0,0,0.0
113,8,1671,2,0,0,0.0
114,8,Affiliate.Partners,2,0,0,0.0
115,17,yandexmarket,1707,52,52,0.03046280023432923
116,17,,5918,39,39,0.0065900642108820545
117,17,advcake,1989,30,30,0.015082956259426846
118,17,email,85,10,10,0.1176470588235294
119,17,yandexmarket.spb,670,10,10,0.01492537313432836
120,17,yandexmarket.chelyabinks,213,4,4,0.018779342723004692
121,17,yandexmarket.krasnodar,259,4,4,0.015444015444015444
122,17,yandexmarket.rostov,220,4,4,0.01818181818181818
123,17,yandex,158,4,4,0.02531645569620253
124,17,yandexmarket.kzn,148,3,3,0.020270270270270268
125,17,retailrocket,367,2,2,0.005449591280653951
126,17,yandexmarket.novokuznetsk,88,2,2,0.022727272727272728
127,17,yandexmarket.tver,452,2,2,0.004424778761061947
128,17,yandexmarket.rzn,73,1,1,0.0136986301369863
129,17,yandexmarket.tumen,98,1,1,0.010204081632653059
130,17,nadavi,162,1,1,0.006172839506172839
131,17,yandexmarket.kirov,44,0,0,0.0
132,17,yandexmarket.ribinsk,24,0,0,0.0
133,17,yandexmarket.nsb,1,0,0,0.0
134,17,market.yandex.ru,5,0,0,0.0
135,17,yandexmarket.vladikavkaz,32,0,0,0.0
136,17,yandexmarke,1,0,0,0.0
137,17,criteo,17,0,0,0.0
138,17,yandexmarketsochi,35,0,0,0.0
139,17,2GIS,1,0,0,0.0
140,17,yandexmarket.kaluga,61,0,0,0.0
141,17,yandexmarket.taganrog,20,0,0,0.0
142,17,yandexmarket.vladivostok,78,0,0,0.0
143,17,poiskpodbor,15,0,0,0.0
144,17,yandexmarket.yaroslavl,78,0,0,0.0
145,17,123,9,0,0,0.0
146,17,yandexmarket.novorossiysk,29,0,0,0.0
147,17,yandexmarket.nn,197,0,0,0.0
148,18,yandexmarket,1756,53,53,0.030182232346241462
149,18,,2536,48,48,0.01892744479495268
150,18,advcake,733,18,18,0.02455661664392906
151,18,email,53,6,6,0.11320754716981132
152,18,yandex,128,5,5,0.0390625
153,18,yandexmarket.spb,339,4,4,0.011799410029498523
154,18,retailrocket,332,3,3,0.009036144578313251
155,18,flocktory,19,1,1,0.05263157894736842
156,18,yandexmarket.novosib,225,1,1,0.004444444444444445
157,18,nadavi,122,0,0,0.0
158,18,mixmarket,3,0,0,0.0
159,18,yandexmarket.nn,121,0,0,0.0
160,18,criteo_msk,4,0,0,0.0
161,18,torgmail,68,0,0,0.0
162,18,yandexmarket.kazan,3,0,0,0.0
163,18,yandexmarket.ufa,1,0,0,0.0
164,18,youtube,8,0,0,0.0
165,18,ixbt,2,0,0,0.0
166,18,criteo,20,0,0,0.0
167,18,get4click,1,0,0,0.0
168,18,just,10,0,0,0.0
169,18,admitad,1,0,0,0.0
170,18,actionpay,1,0,0,0.0
171,18,gdeslon,1,0,0,0.0
172,30,,215411,751,751,0.003486358635352884
173,30,advcake,29810,232,232,0.007782623280778262
174,30,serviceletter,1956,128,128,0.065439672801636
175,30,sale.mi-shop.com,11801,103,103,0.008728073892043045
176,30,yandex_direct,35279,87,87,0.0024660562941126447
177,30,newsletter,8623,66,66,0.007653948741737214
178,30,google_adwords,20209,57,57,0.002820525508436835
179,30,device,20365,13,13,0.0006383501104836731
180,30,mi_community,302,3,3,0.009933774834437088
181,30,survey,14,2,2,0.14285714285714285
182,30,email,8,2,2,0.25
183,30,admitad,32,2,2,0.0625
184,30,primezone,215,1,1,0.004651162790697674
185,30,yandex,3,0,0,0.0
186,30,miui-su,1,0,0,0.0
187,30,mi-shop.com,1,0,0,0.0
188,30,googlerw,6,0,0,0.0
189,30, blackfridaysale_ru,6,0,0,0.0
190,30,ixbt,298,0,0,0.0
191,30,sunlight.net,132,0,0,0.0
192,30,b2bpriceletter,11,0,0,0.0
193,30,adletter,4,0,0,0.0
194,30,begun,1,0,0,0.0
195,30,yandexrw,3,0,0,0.0
196,30,mom.life,3,0,0,0.0
197,30,realweb,3,0,0,0.0
198,30,criteo,6,0,0,0.0
199,31,,212994,0,105,0.0004929716330037466
200,31,advcake,2730,0,25,0.009157509157509158
201,31,urokrf,2147,0,17,0.007918025151374011
202,31,drofa-ventana,1207,0,16,0.013256006628003313
203,31,Sendsay,14784,0,7,0.00047348484848484855
204,31,directyandex,1891,0,3,0.0015864621893178213
205,31,menobr,42,0,2,0.047619047619047616
206,31,sendsay,600,0,1,0.0016666666666666668
207,31,forms,42,0,1,0.023809523809523808
208,31,facebook,10,0,0,0.0
209,31,lecta,372,0,0,0.0
210,31,print,2,0,0,0.0
211,31,facebook.com,69,0,0,0.0
212,31,Viber,3,0,0,0.0
213,31,1september,45,0,0,0.0
214,31,channel_drofa,1,0,0,0.0
215,31,lecta-logo,2,0,0,0.0
216,31,metodisty,155,0,0,0.0
217,31,easyen,876,0,0,0.0
218,31,vkontakte,13,0,0,0.0
219,31,konkursgrant,4,0,0,0.0
220,31,newsletter,11,0,0,0.0
221,31,atlascomm,9,0,0,0.0
222,31,znanika,2,0,0,0.0
223,31,foxford,6,0,0,0.0
224,31,yandex,1,0,0,0.0
225,31,news,50,0,0,0.0
226,31,vk.com,49,0,0,0.0
227,31,drofa-ventana_ru,41,0,0,0.0
228,31,pedsovet,1,0,0,0.0
229,31,odnoklassniki,3,0,0,0.0
230,31,odnoklassniki.ru,209,0,0,0.0
231,31,moeobrazovanie,1,0,0,0.0
232,31,zen,3,0,0,0.0
233,31,drofa-ventanaru,273,0,0,0.0
234,31,smi,2,0,0,0.0
235,31,resobr,4,0,0,0.0
236,31,konkurs,6,0,0,0.0
237,31,odnoklasniki,1,0,0,0.0
238,32,,782092,0,4498,0.0057512415419157855
239,32,yandex_market,47516,0,1655,0.03483037292701406
240,32,yandex,257790,0,1265,0.0049070949222235144
241,32,google,46470,0,601,0.012933075102216484
242,32,advcake,46777,0,517,0.01105244030185775
243,32,rtbhouse,2816,0,195,0.06924715909090909
244,32,rr,3004,0,146,0.04860186418109188
245,32,soloway,2237,0,86,0.03844434510505141
246,32,nadavi,3949,0,71,0.017979235249430237
247,32,20180307_avto,2395,0,39,0.0162839248434238
248,32,20180312_stm_welcome,265,0,38,0.14339622641509436
249,32,filteroRU,301,0,32,0.106312292358804
250,32,20180304,2018,0,28,0.013875123885034688
251,32,20180312_stm,2571,0,27,0.010501750291715286
252,32,20180305_month,1610,0,26,0.016149068322981366
253,32,20180302_akcii_pl,298,0,18,0.060402684563758385
254,32,20180311_petshop,913,0,17,0.018619934282584884
255,32,flctry,41,0,15,0.36585365853658536
256,32,flocktory,161,0,12,0.07453416149068323
257,32,mytarget,1072,0,11,0.010261194029850745
258,32,googlemap,404,0,11,0.027227722772277228
259,32,20180302_akcii_active,554,0,9,0.016245487364620937
260,32,mb,60,0,8,0.13333333333333333
261,32,20180226_svet,82,0,7,0.08536585365853659
262,32,youtube,1568,0,6,0.003826530612244898
263,32,20180131_avto_1,209,0,6,0.02870813397129187
264,32,20180227_silovaya,223,0,5,0.022421524663677132
265,32,price.ru,860,0,5,0.005813953488372093
266,32,20180302_akcii_neactive,34,0,4,0.1176470588235294
267,32,20180225_2,45,0,4,0.08888888888888889
268,32,20180301_akcii,9,0,3,0.3333333333333333
269,32,20180307_avto_neactive,150,0,3,0.02
270,32,flocktory_pre,27,0,3,0.1111111111111111
271,32,20180228_izmerilka,215,0,3,0.013953488372093023
272,32,tinkoff,77,0,2,0.025974025974025976
273,32,retailrocket,20,0,2,0.1
274,32,20180302_akcii_welcomeleft,16,0,2,0.125
275,32,20140220,2,0,2,1.0
276,32,20180306_akcii,5,0,2,0.4
277,32,20180128,36,0,2,0.05555555555555555
278,32,20171226_stm,3,0,1,0.3333333333333333
279,32,price59,34,0,1,0.029411764705882356
280,32,20180221_skidka220_1,12,0,1,0.08333333333333333
281,32,20180219_23feb,13,0,1,0.07692307692307693
282,32,20180222_23feb,11,0,1,0.09090909090909093
283,32,20180228_santeh,36,0,1,0.027777777777777776
284,32,20180225_1,46,0,1,0.021739130434782608
285,32,admitad,123,0,1,0.008130081300813009
286,32,20180209_stm_a,2,0,1,0.5
287,32,20180211_pl,5,0,1,0.2
288,32,20180218,23,0,1,0.043478260869565216
289,32,20161107,1,0,0,0.0
290,32,turbo,3,0,0,0.0
291,32,fb,1,0,0,0.0
292,32,20171219_izmerilka,1,0,0,0.0
293,32,abc,2,0,0,0.0
294,32,20170329,1,0,0,0.0
295,32,20180125_ruchnik_tst,2,0,0,0.0
296,32,20180204_c,22,0,0,0.0
297,32,ideasvdolevkeru,1,0,0,0.0
298,32,20180204_a,3,0,0,0.0
299,32,20171229,3,0,0,0.0
300,32,tambov.nashaspravka.ru,1,0,0,0.0
301,32,20161028,1,0,0,0.0
302,32,20180131_dom,5,0,0,0.0
303,32,20180211_b,14,0,0,0.0
304,32,20180129_cenorez_b,1,0,0,0.0
305,32,20180216_elektro,6,0,0,0.0
306,32,test_utm_source,1,0,0,0.0
307,32,20180131_avto_2,1,0,0,0.0
308,32,20160414,1,0,0,0.0
309,32,omsk.nashaspravka.ru,1,0,0,0.0
310,32,blizkoru_id12571819,1,0,0,0.0
311,32,Aport,1,0,0,0.0
312,32,rmnt,3,0,0,0.0
313,32,20171220_dom,1,0,0,0.0
314,32,20171216_dremel,3,0,0,0.0
315,32,20161011,1,0,0,0.0
316,32,20141227,2,0,0,0.0
317,32,20180221_skidka220_2,26,0,0,0.0
318,32,20170910,1,0,0,0.0
319,32,UniSender,1,0,0,0.0
320,32,20180215_ruchnik_segment,11,0,0,0.0
321,32,20170811,1,0,0,0.0
322,32,20180113_dremel,1,0,0,0.0
323,32,20140603,1,0,0,0.0
324,32,mnogoru,1,0,0,0.0
325,32,2poick.ru,1,0,0,0.0
326,32,20170823,1,0,0,0.0
327,32,20170619,1,0,0,0.0
328,32,smolensk.nashaspravka.ru,1,0,0,0.0
329,32,20160505,1,0,0,0.0
330,32,blizkoru_id11417061,4,0,0,0.0
331,32,20180119_avto,3,0,0,0.0
332,32,20170215,1,0,0,0.0
333,32,20180215_pl_new_500,1,0,0,0.0
334,32,AvitoContext,1,0,0,0.0
335,32,20140909,1,0,0,0.0
336,32,blizkoru_id10742564,4,0,0,0.0
337,32,20171210_import,2,0,0,0.0
338,32,20180312_stm_neactive,111,0,0,0.0
339,32,20180123_pl,1,0,0,0.0
340,32,20180129_abraziv,1,0,0,0.0
341,32,sway,2,0,0,0.0
342,32,20170704,1,0,0,0.0
343,32,yamar,1,0,0,0.0
344,32,20171211_stm,1,0,0,0.0
345,32,220-volt.tiu.ru,5,0,0,0.0
346,32,20150401,1,0,0,0.0
347,32,20180121,3,0,0,0.0
348,32,20180215_pl_dreif_500,1,0,0,0.0
349,32,20171217,1,0,0,0.0
350,32,20171204_osnastka,1,0,0,0.0
351,32,20170922grzh,1,0,0,0.0
352,32,20180227_opt,1,0,0,0.0
353,32,20171207_ny,1,0,0,0.0
354,32,20171124_bf,1,0,0,0.0
355,32,20180126_silovaya,1,0,0,0.0
356,32,20180205_month_a,1,0,0,0.0
357,32,20170517,2,0,0,0.0
358,32,20171112,5,0,0,0.0
359,32,20171029,1,0,0,0.0
360,32,20170919,1,0,0,0.0
361,32,onedaysale,5,0,0,0.0
362,32,20180208_2_do49,5,0,0,0.0
363,32,20170621,1,0,0,0.0
364,32,20171130,1,0,0,0.0
365,32,example.org,1,0,0,0.0
366,32,20180212_sad,6,0,0,0.0
367,32,20180211_a,59,0,0,0.0
368,32,Torg_mail.ru,1,0,0,0.0
369,32,mirtesen,267,0,0,0.0
370,32,Viber,1,0,0,0.0
371,32,20171004,1,0,0,0.0
372,32,20180125_ruchnik,1,0,0,0.0
373,32,20150609,1,0,0,0.0
374,32,20171105,6,0,0,0.0
375,32,20160315,1,0,0,0.0
376,32,rbf,1,0,0,0.0
377,32,20180214_avto_1,4,0,0,0.0
378,32,20170217,1,0,0,0.0
379,32,20180314_silovaya,1,0,0,0.0
380,32,20180111,2,0,0,0.0
381,32,20170924,1,0,0,0.0
382,32,20180208_1_do49,1,0,0,0.0
383,32,20180226_abraziv,11,0,0,0.0
384,32,20180209_stm_b,2,0,0,0.0
385,32,20170808,1,0,0,0.0
386,32,20171225_elektro,2,0,0,0.0
387,32,20180126_izmerilka,1,0,0,0.0
388,32,20170419,1,0,0,0.0
389,32,Criteo,72,0,0,0.0
390,32,20180215_ruchnik_active,14,0,0,0.0
391,32,20180122_month_tst,1,0,0,0.0
392,32,20170825,1,0,0,0.0
393,32,20131022,1,0,0,0.0
394,32,20170723,1,0,0,0.0
395,32,20180214_avto_activnie,2,0,0,0.0
396,32,20180214_avto_segment,6,0,0,0.0
397,32,20171119,1,0,0,0.0
398,32,20171206_klimat,2,0,0,0.0
399,32,20170210,1,0,0,0.0
400,32,optmail,1,0,0,0.0
401,32,20180212_23feb_all,1,0,0,0.0
402,32,20180130_klimat,2,0,0,0.0
403,32,20160825,1,0,0,0.0
404,32,20180116_elektro_b,1,0,0,0.0
405,32,20171224,9,0,0,0.0
406,32,ok,2,0,0,0.0
407,32,farprim.ru,1,0,0,0.0
408,32,RetailRocket,154,0,0,0.0
409,32,20171108_rashodka,1,0,0,0.0
410,32,20170802new,1,0,0,0.0
411,32,topadvert_horoshop.ru,1,0,0,0.0
412,32,Sibnet,79,0,0,0.0
413,32,20180204_neactive,1,0,0,0.0
414,32,20161123_blackfriday,1,0,0,0.0
415,32,yaroslavl.nashaspravka.ru,1,0,0,0.0
416,32,direct,2,0,0,0.0
417,32,home_promo,1,0,0,0.0
418,32,news.mail.ru,2,0,0,0.0
419,32,20180212_23feb,1,0,0,0.0
420,32,20170330rr,1,0,0,0.0
421,32,20180214_avto_2,6,0,0,0.0
422,32,20180129_cenorez_a,1,0,0,0.0
423,32,20170818shum,1,0,0,0.0
424,32,20180222_dewalt,7,0,0,0.0
425,32,20180124_mos,1,0,0,0.0
426,32,20151029,1,0,0,0.0
427,32,Ruganza,2,0,0,0.0
428,32,20171002,1,0,0,0.0
429,32,CityADS,8,0,0,0.0
430,32,20150519,1,0,0,0.0
431,32,20180109_stm,1,0,0,0.0
432,32,20180212_23feb_1c,1,0,0,0.0
433,32,20131217,1,0,0,0.0
434,32,20161220,1,0,0,0.0
435,32,20170303,1,0,0,0.0
436,32,20171117_elektro,1,0,0,0.0
437,32,20180112_skidka220,2,0,0,0.0
438,32,20180204_b,3,0,0,0.0
439,32,20150331,1,0,0,0.0
440,32,20170219,1,0,0,0.0
441,32,20180216,1,0,0,0.0
442,32,20180227_sad,8,0,0,0.0
443,32,20180211_neactive,3,0,0,0.0
444,32,20160607,1,0,0,0.0
445,32,20150414,1,0,0,0.0
446,32,vk,124,0,0,0.0
447,32,20171017,1,0,0,0.0
448,41,,72145,585,585,0.008108670039503777
449,41,yandex,14016,152,152,0.010844748858447488
450,41,yandex.market,2350,62,62,0.026382978723404255
451,41,mir-kubikov,1228,30,30,0.024429967426710098
452,41,picodi-sale.com,44,9,9,0.20454545454545456
453,41,advcake,590,4,4,0.006779661016949152
454,41,facebook,423,4,4,0.009456264775413713
455,41,instagram,2483,3,3,0.0012082158679017315
456,41,bricker.ru,312,3,3,0.009615384615384616
457,41,mt_mg,993,2,2,0.0020140986908358514
458,41,bayan,859,1,1,0.0011641443538998836
459,41,blizkoru_id13169428,1,0,0,0.0
460,41,admitad,3,0,0,0.0
461,41,fbig-carousel-gender8march,54,0,0,0.0
462,41,yt,1,0,0,0.0
463,41,MediaMath-progr,1,0,0,0.0
464,41,aport.market,26,0,0,0.0
465,41,newyear.lego.com,14,0,0,0.0
466,41,otm-ban,4,0,0,0.0
467,41,ivengo,15,0,0,0.0
468,41,fbig-post-gender8march,100,0,0,0.0
469,41,mt,2,0,0,0.0
470,41,gdn-banners,4,0,0,0.0
471,41,retailrocket_lego,3,0,0,0.0
472,41,video-progr,5,0,0,0.0
473,41,youtube,3,0,0,0.0
474,41,vk-post-gender8march,227,0,0,0.0
475,41,blizkoru_id13501382?print=y,1,0,0,0.0
476,41,Viber,1,0,0,0.0
477,41,youtube-in-stream,183,0,0,0.0
478,41,vk-carousel-gender8march,105,0,0,0.0
479,41,mytarget_O2O,1,0,0,0.0
480,41,youtube-in-stream-valentine,3,0,0,0.0
481,41,allwebpush,24,0,0,0.0
482,41,vk.com,1,0,0,0.0
483,41,blizkoru_id13032619,5,0,0,0.0
484,41,google,53,0,0,0.0
485,41,blizkoru_id13501380,1,0,0,0.0
486,41,youtube-bumper,7,0,0,0.0
487,41,gdn-them,8,0,0,0.0
488,41,blizkoru_id13180185,5,0,0,0.0
489,41,criteo,8,0,0,0.0
490,41,mir-kubikov.ru,1,0,0,0.0
491,41,blizkoru_id13501373,1,0,0,0.0
492,41,gdn-ban,4,0,0,0.0
493,41,dbm,1,0,0,0.0
494,41,targetcircle,1,0,0,0.0
495,42,,125525,810,810,0.006452897829117706
496,42,yandex,22789,180,180,0.007898547544868137
497,42,picodi-sale.com,220,64,64,0.2909090909090909
498,42,yandex.market,3648,41,41,0.011239035087719298
499,42,streetbeat,2251,28,28,0.012438916037316748
500,42,sms,2675,14,14,0.005233644859813084
501,42,advcake,469,3,3,0.006396588486140725
502,42,allwebpush,461,3,3,0.006507592190889371
503,42,N1881.Facebook,5733,1,1,0.00017442874585731728
504,42,SB,6,0,0,0.0
505,42,slamdunk,3,0,0,0.0
506,42,vk,3,0,0,0.0
507,42,dbm,1,0,0,0.0
508,42,yandexmarket_msk,1,0,0,0.0
509,42,Vk_post,1,0,0,0.0
510,42,IG_Street_Beat,1,0,0,0.0
511,42,n1881.facebook,2,0,0,0.0
512,42,admitad,4,0,0,0.0
513,42,targetcircle,1,0,0,0.0
514,42,google,4,0,0,0.0
515,42,retailrocket_streetbeat,3,0,0,0.0
516,43,,317950,1154,1154,0.003629501493945589
517,43,yandex,77046,222,222,0.002881395529943151
518,43,yandex.market,5516,66,66,0.011965192168237855
519,43,picodi-sale.com,206,14,14,0.06796116504854369
520,43,mindbox,344,13,13,0.0377906976744186
521,43,re-store,2933,11,11,0.0037504261847937275
522,43,iphonesru,4731,8,8,0.0016909744240118367
523,43,bayan,5790,8,8,0.001381692573402418
524,43,criteo,3279,7,7,0.002134797194266545
525,43,advcake,242,3,3,0.012396694214876032
526,43,facebook,5707,2,2,0.00035044681969511135
527,43,google,52,2,2,0.038461538461538464
528,43,soloway,797,1,1,0.0012547051442910915
529,43,partner,105,1,1,0.009523809523809523
530,43,surfingbird,5997,1,1,0.00016675004168751042
531,43,cpamit,28,1,1,0.03571428571428571
532,43,tradetracker,15,1,1,0.06666666666666668
533,43,vkontakte,4684,1,1,0.00021349274124679758
534,43,atlas,9,0,0,0.0
535,43,iphones,2,0,0,0.0
536,43,lifehacker_wd,4,0,0,0.0
537,43,dbm,448,0,0,0.0
538,43,targetcircle,1,0,0,0.0
539,43,firstdata,948,0,0,0.0
540,43,iphonesru/?min_price=21990,12,0,0,0.0
541,43,Flow_beats,1,0,0,0.0
542,43,restore,3,0,0,0.0
543,43,iphones_music,67,0,0,0.0
544,43,blizkoru_id13169299,1,0,0,0.0
545,43,everest,1,0,0,0.0
546,43,The-Flow(season_2),1,0,0,0.0
547,43,ekaterinburg.nashaspravka.ru,1,0,0,0.0
548,43,yadirect,1097,0,0,0.0
549,43,iphonesru/?min_price=40990,1,0,0,0.0
550,43,ai,1,0,0,0.0
551,43,actionpay,5,0,0,0.0
552,43,iphonesru/?min_price=1790,15,0,0,0.0
553,43,AdSmart,236,0,0,0.0
554,43,the-flow,4,0,0,0.0
555,43,blizkoru_id13173468,1,0,0,0.0
556,43,sms,16,0,0,0.0
557,43,instagram,27339,0,0,0.0
558,43,Viber,4,0,0,0.0
