,last_source,sessions_count,sessions_orders_count,sessions_typ_count,cr
0,,1749066,3623,8295,0.004742531156628738
1,yandex,376114,596,1816,0.004828323327501768
2,yandex_market,47795,7,1659,0.034710743801652885
3,advcake,85339,393,942,0.011038329485932577
4,google,46510,2,602,0.01294345302085573
5,rtbhouse,3328,5,182,0.0546875
6,yandex.market,11531,165,165,0.014309253317145087
7,rr,2953,0,146,0.04944124619031493
8,serviceletter,1973,131,131,0.06639635073492144
9,sale.mi-shop.com,11917,109,109,0.009146597297977678
10,yandexmarket,3466,109,109,0.031448355452971734
11,soloway,3004,1,87,0.02896138482023968
12,yandex_direct,35247,84,84,0.002383181547365733
13,picodi-sale.com,449,83,83,0.18485523385300667
14,nadavi,4258,0,65,0.015265382808830438
15,newsletter,8661,64,64,0.00738944694608013
16,google_adwords,20223,59,59,0.0029174702071898336
17,mnogo.ru,7075,57,57,0.008056537102473497
18,Рассылка интернет-магазина,1425,46,46,0.032280701754385965
19,20180307_avto,2423,0,43,0.017746595130004126
20,filteroRU,298,0,32,0.10738255033557048
21,mir-kubikov,1234,30,30,0.024311183144246355
22,streetbeat,2255,29,29,0.012860310421286032
23,flocktory,640,16,29,0.0453125
24,retailrocket,965,26,28,0.029015544041450774
25,20180312_stm_welcome,244,0,27,0.11065573770491803
26,20180304,2076,0,27,0.01300578034682081
27,20180312_stm,2485,0,26,0.010462776659959759
28,20180305_month,1608,0,24,0.01492537313432836
29,20180302_akcii_pl,306,0,22,0.0718954248366013
30,mindbox,438,20,20,0.045662100456620995
31,eksmo.ru,661,19,19,0.028744326777609682
32,email,145,18,18,0.12413793103448276
33,drofa-ventana,1383,2,18,0.013015184381778741
34,urokrf,2139,0,17,0.007947639083683964
35,20180311_petshop,872,0,16,0.01834862385321101
36,yandexmarket.spb,1014,15,15,0.014792899408284025
37,mb,69,0,14,0.2028985507246377
38,sms,2692,13,13,0.004829123328380386
39,youtube,1664,3,13,0.0078125
40,googlemap,406,0,12,0.029556650246305417
41,flctry,40,0,12,0.3
42,re-store,2931,11,11,0.003752985329239168
43,20180302_akcii_active,578,0,11,0.01903114186851211
44,device,20409,11,11,0.0005389779019060218
45,mytarget,1058,0,10,0.00945179584120983
46,bayan,6644,9,9,0.0013546056592414206
47,criteo,3360,8,8,0.0023809523809523807
48,FbTargetKarusel,310,7,7,0.022580645161290318
49,iphonesru,4740,7,7,0.0014767932489451474
50,20180226_svet,83,0,7,0.08433734939759037
51,20180131_avto_1,200,0,6,0.03
52,Corpus,44,6,6,0.13636363636363635
53,Sendsay,14929,0,6,0.0004019023377319311
54,facebook,6142,6,6,0.000976880494952784
55,admitad,166,4,5,0.030120481927710843
56,price.ru,865,0,4,0.004624277456647399
57,yandexmarket.chelyabinks,213,4,4,0.018779342723004692
58,20180225_2,43,0,4,0.09302325581395347
59,ast.ru,116,4,4,0.03448275862068965
60,20180227_silovaya,232,0,4,0.017241379310344827
61,INSTA,274,4,4,0.0145985401459854
62,yandexmarket.krasnodar,259,4,4,0.015444015444015444
63,20180302_akcii_neactive,32,0,4,0.125
64,mi_community,307,3,3,0.009771986970684038
65,allwebpush,505,3,3,0.005940594059405941
66,Affiliate.Publishers,83,3,3,0.03614457831325301
67,bricker.ru,314,3,3,0.009554140127388536
68,yandexmarket.rostov,219,3,3,0.0136986301369863
69,20180307_avto_neactive,153,0,3,0.0196078431372549
70,directyandex,1878,0,3,0.001597444089456869
71,flocktory_pre,25,0,3,0.12
72,smntc,116,3,3,0.02586206896551724
73,instagram,29832,3,3,0.0001005631536604988
74,20180301_akcii,8,0,3,0.375
75,yandexmarket.kzn,148,3,3,0.020270270270270268
76,yandexmarket.tver,454,2,2,0.004405286343612335
77,biglion,6,2,2,0.3333333333333333
78,mt_mg,993,2,2,0.0020140986908358514
79,livelib,138,2,2,0.014492753623188406
80,20140220,2,0,2,1.0
81,menobr,41,0,2,0.04878048780487805
82,yandexmarket.novosib,227,2,2,0.00881057268722467
83,Рассылка интернет-магазина АСТ,38,2,2,0.05263157894736842
84,20180302_akcii_welcomeleft,16,0,2,0.125
85,yandexmarket.novokuznetsk,88,2,2,0.022727272727272728
86,tinkoff,111,1,2,0.018018018018018014
87,20180228_izmerilka,219,0,2,0.0091324200913242
88,survey,14,2,2,0.14285714285714285
89,partner,106,1,1,0.009433962264150943
90,20180225_1,51,0,1,0.0196078431372549
91,20180211_pl,7,0,1,0.14285714285714285
92,20180209_stm_a,2,0,1,0.5
93,forms,39,0,1,0.02564102564102564
94,surfingbird,5990,1,1,0.0001669449081803005
95,20180218,22,0,1,0.045454545454545456
96,2241,1,1,1,1.0
97,20180227_opt,2,0,1,0.5
98,sendsay,597,0,1,0.0016750418760469012
99,20180219_23feb,15,0,1,0.06666666666666668
100,20180211_a,64,0,1,0.015625
101,instagram_com_ast,14,1,1,0.07142857142857142
102,20180222_23feb,13,0,1,0.07692307692307693
103,20180221_skidka220_1,11,0,1,0.09090909090909093
104,cpamit,29,1,1,0.03448275862068965
105,N1881.Facebook,5733,1,1,0.00017442874585731728
106,1190,1,1,1,1.0
107,VK,16,1,1,0.0625
108,yandexmarket.rzn,73,1,1,0.0136986301369863
109,topadvert,203,1,1,0.0049261083743842365
110,20180228_santeh,37,0,1,0.027027027027027032
111,vkontakte,4697,1,1,0.00021290185224611451
112,tradetracker,15,1,1,0.06666666666666668
113,20180306_akcii,3,0,1,0.3333333333333333
114,20171226_stm,3,0,1,0.3333333333333333
115,primezone,216,1,1,0.0046296296296296285
116,price59,34,0,1,0.029411764705882356
117,20180212_sad,7,0,1,0.14285714285714285
118,affiliate_partners,39,1,1,0.02564102564102564
119,yandexmarket.tumen,98,1,1,0.010204081632653059
120,20171211_stm,1,0,0,0.0
121,20170919,1,0,0,0.0
122,20170922grzh,1,0,0,0.0
123,1908,1,0,0,0.0
124,20180209_stm_b,2,0,0,0.0
125,torgmail,68,0,0,0.0
126,20171112,6,0,0,0.0
127,mi-shop.com,1,0,0,0.0
128,iphonesruальфа р,1,0,0,0.0
129,onedaysale,5,0,0,0.0
130,smi,2,0,0,0.0
131,vc_promo,3,0,0,0.0
132,odnoklassniki.ru,210,0,0,0.0
133,20170517,2,0,0,0.0
134,20170217,1,0,0,0.0
135,2239,1,0,0,0.0
136,VKTargetKnopka,2,0,0,0.0
137,vk_nyusha,14,0,0,0.0
138,20180125_ruchnik_tst,2,0,0,0.0
139,Sibnet,78,0,0,0.0
140,qrcode,38,0,0,0.0
141,fb.com_ast,2,0,0,0.0
142,Рассылка интернет-магазина book24.ru,1,0,0,0.0
143,20131022,1,0,0,0.0
144,yandexmarket.vladivostok,78,0,0,0.0
145,yamar,1,0,0,0.0
146,20171105,6,0,0,0.0
147,20180123_pl,1,0,0,0.0
148,criteo_msk,3,0,0,0.0
149,fbig-carousel-gender8march,54,0,0,0.0
150,iphonesru/?min_price=21990,12,0,0,0.0
151,1664,1,0,0,0.0
152,20151029,1,0,0,0.0
153,220-volt.tiu.ru,6,0,0,0.0
154,Affiliate.Partners,1,0,0,0.0
155,UniSender,1,0,0,0.0
156,wcbook,2,0,0,0.0
157,Criteo,73,0,0,0.0
158,VKposev,45,0,0,0.0
159,iphones_music/?min_price=1790,9,0,0,0.0
160,znanika,2,0,0,0.0
161,MT,1,0,0,0.0
